"R (T)/R (290K)(T (K)), created by Plot Digitizer, 2.6.8",
270.872,0.148534
271.047,0.191531
271.047,0.218893
271.047,0.265798
271.047,0.316612
271.221,0.371336
271.047,0.418241
271.221,0.484691
271.047,0.547231
271.047,0.613681
271.221,0.668404
271.047,0.730945
271.221,0.770033
271.221,0.793485
271.395,0.816938
271.395,0.859935
272.442,0.863844
273.14,0.863844
274.884,0.867752
275.581,0.87557
276.977,0.883388
279.07,0.899023
280.116,0.90684
280.116,0.914658
281.512,0.918567
282.907,0.934202
283.953,0.94202
285.349,0.949837
287.093,0.961564
287.616,0.97329
288.837,0.992834
289.535,0.992834
290.581,1.01238
290.93,1.0241
291.802,1.03192
293.198,1.04365
293.721,1.05537
294.942,1.0671
295.465,1.08274
296.337,1.08665
297.035,1.10619
297.035,1.11792
225.349,-2.22E-16
228.663,0.00390879
231.279,0.00390879
233.895,0.00390879
235.465,0.00390879
236.512,0.00390879
239.826,0.00390879
240.523,0.00390879
241.919,0.00390879
243.314,0.00390879
245.233,-2.22E-16
246.802,0.00390879
247.674,0.00390879
249.419,0.00390879
251.686,0.00390879
254.128,-2.22E-16
255.523,-2.22E-16
256.221,-2.22E-16
258.14,-0.00390879
260.233,-2.22E-16
261.802,-2.22E-16
263.023,-2.22E-16
264.244,-2.22E-16
264.767,-2.22E-16
265.291,-2.22E-16
265.291,0.0312704
265.291,0.0547231
265.291,0.0781759
265.291,0.105537
265.291,0.144625
265.291,0.175896
265.291,0.207166
265.465,0.234528
265.465,0.261889
265.814,0.289251
265.465,0.320521
265.465,0.367427
265.64,0.398697
265.64,0.42215
265.814,0.45342
265.814,0.492508
265.465,0.523778
265.465,0.558958
265.465,0.598046
265.814,0.629316
265.814,0.64886
265.814,0.660586
265.814,0.684039
265.814,0.695765
265.814,0.703583
265.988,0.719218
265.988,0.754397
266.163,0.77785
266.163,0.809121
267.035,0.816938
268.081,0.828664
269.302,0.840391
271.395,0.848208
272.616,0.859935
272.791,0.867752
274.186,0.867752
275.581,0.879479
276.453,0.891205
277.674,0.902932
279.419,0.918567
280.814,0.922476
282.209,0.938111
283.081,0.945928
284.128,0.957655
285,0.961564
285.872,0.977199
286.919,0.977199
288.837,1.00065
289.884,1.0202
292.326,1.04365
292.849,1.06319
293.895,1.05928
294.767,1.08274
295.465,1.10228
295.814,1.1101
